edit_history_tweet_ids,created_at,id,author_id,text
['1947175215102128397'],2025-07-21T06:02:02.000Z,1947175215102128397,14787749,@LisaScafPerthLM You're welcome!
['1947139828539347080'],2025-07-21T03:41:25.000Z,1947139828539347080,14787749,"@LisaScafPerthLM Hi Lisa, definitely not us as we would never send you a link to click on but ask you to logon to your netbank inbox or call us^Gigi"
['1947067978706800645'],2025-07-20T22:55:55.000Z,1947067978706800645,14787749,"@jbthinking In that case you can look at 
Customer Advocate team: https://t.co/jiRHlYOeF6 OR
Australian Financial Complaints Authority: https://t.co/EVxd9KBSot"
['1947063887242907972'],2025-07-20T22:39:40.000Z,1947063887242907972,14787749,"@jbthinking Please follow the link to lodge a formal complaint. Once the team gets in touch with you, you can send them your evidence. Here is the link https://t.co/4qtaZUyHbV"
['1947062070157213786'],2025-07-20T22:32:26.000Z,1947062070157213786,14787749,"@jbthinking Hi John, you can look at formally lodging a complaint here  https://t.co/CfrHmG16Mu have it reviewed accordingly ^Gigi"
['1946873755529359547'],2025-07-20T10:04:09.000Z,1946873755529359547,14787749,"@M16Sux Hi there, I would like to hear more about this to see how I can help. Would it be alright if I grabbed some details? Please DM me and we can talk there.'^Sy"
['1946781954441097256'],2025-07-20T03:59:22.000Z,1946781954441097256,14787749,@schwabe_leanne You can only view up to 2 years of the transaction history through the app.^Gigi
['1946777325800230991'],2025-07-20T03:40:58.000Z,1946777325800230991,14787749,"@schwabe_leanne Hi Leanne, you can view your account statements for up to 7 years online to help with your transactions. ^Bea"
['1946711644983431515'],2025-07-19T23:19:58.000Z,1946711644983431515,14787749,@M16Sux call 13 2221 8am-8pm AEST. You can also lodge your dissatisfaction about a product or service we offer through the 'Complaints' page on our website. ^Mary (2/2)
['1946711593334763636'],2025-07-19T23:19:46.000Z,1946711593334763636,14787749,"@M16Sux Hi Nick, to understand how to help you best, I need a little bit more information. Could you please send me a private message. If there’s no response in 24 hours, this will automatically be closed, but if you still need a hand, you can message through the CommBank app or 1/2"
['1945767386990469627'],2025-07-17T08:47:50.000Z,1945767386990469627,14787749,"@Richard_D_Boyle Hi Richard, I can see your frustration and concern and that you're dissatisfied with your experience with this.

You can capture your comment formally as a complaint via the 'Complaints' page on our website. ^Siji"
['1945187256173781475'],2025-07-15T18:22:36.000Z,1945187256173781475,14787749,"@RAOCHAINnode For our full privacy policy, you can visit the CommBank website and search 'Privacy'. ^Christine 2/2"
['1945187181011812507'],2025-07-15T18:22:18.000Z,1945187181011812507,14787749,"@RAOCHAINnode I notice that you've shared address and account details. Please don't proactively provide personal information. We'll only ever ask for information to assist with an enquiry, this is to ensure the protection of personal information. Could I ask that you delete it? 1/2"
